customer_unique_id,customer_state,customer_city,order_count,total_spent,avg_order_value,first_order_date,last_order_date
0a0a92112bd4c708ca5fde585afaa872,RJ,rio de janeiro,1,13440.0,13440.0,2017-09-29 15:24:52,2017-09-29 15:24:52
da122df9eeddfedc1dc1f5349a1a690c,RJ,araruama,2,7388.0,3694.0,2017-04-01 15:58:40,2017-04-01 15:58:41
763c8b1c9c68a0229c42c9fc6f662b93,ES,vila velha,1,7160.0,7160.0,2018-07-15 14:49:44,2018-07-15 14:49:44
dc4802a71eae9be1dd28f5d788ceb526,MS,campo grande,1,6735.0,6735.0,2017-02-12 20:37:36,2017-02-12 20:37:36
459bef486812aa25204be022145caa62,ES,vitoria,1,6729.0,6729.0,2018-07-25 18:10:17,2018-07-25 18:10:17
ff4159b92c40ebe40454e3e6a7c35ed6,SP,marilia,1,6499.0,6499.0,2017-05-24 18:14:34,2017-05-24 18:14:34
4007669dec559734d6f53e029e360987,MG,divinopolis,1,5934.6,5934.6,2017-11-24 11:03:35,2017-11-24 11:03:35
eebb5dda148d3893cdaf5b5ca3040ccb,SP,maua,1,4690.0,4690.0,2017-04-18 18:50:13,2017-04-18 18:50:13
48e1ac109decbb87765a3eade6854098,PB,joao pessoa,1,4590.0,4590.0,2018-06-22 12:23:19,2018-06-22 12:23:19
a229eba70ec1c2abef51f04987deb7a5,RJ,niteroi,1,4400.0,4400.0,2018-05-31 22:57:07,2018-05-31 22:57:07
